,home_team,away_team,H,D,A,game_id
8,Manchester City,Manchester Utd,0.83,0.115,0.055,Manchester CityManchester Utd
9,Tottenham,Everton,0.879,0.091,0.03,TottenhamEverton
0,Brighton,Liverpool,0.033,0.033,0.935,BrightonLiverpool
1,Brentford,Burnley,0.6940000000000001,0.242,0.064,BrentfordBurnley
2,Manchester Utd,Tottenham,0.535,0.34,0.126,Manchester UtdTottenham
3,Chelsea,Newcastle Utd,0.938,0.044000000000000004,0.019,ChelseaNewcastle Utd
4,Everton,Wolves,0.244,0.3,0.456,EvertonWolves
5,Leeds United,Norwich City,0.8,0.131,0.069,Leeds UnitedNorwich City
6,Southampton,Watford,0.8690000000000001,0.08800000000000001,0.044000000000000004,SouthamptonWatford
7,West Ham,Aston Villa,0.75,0.2,0.05,West HamAston Villa
8,Arsenal,Leicester City,0.784,0.142,0.07400000000000001,ArsenalLeicester City
9,Crystal Palace,Manchester City,0.006,0.018000000000000002,0.976,Crystal PalaceManchester City
0,Norwich City,Chelsea,0.033,0.016,0.951,Norwich CityChelsea
1,Wolves,Leeds United,0.8390000000000001,0.11199999999999999,0.05,WolvesLeeds United
2,Aston Villa,Arsenal,0.11699999999999999,0.233,0.65,Aston VillaArsenal
3,Leicester City,Brentford,0.915,0.055,0.03,Leicester CityBrentford
4,Tottenham,West Ham,0.7390000000000001,0.152,0.109,TottenhamWest Ham
5,Liverpool,Manchester Utd,0.8909999999999999,0.086,0.023,LiverpoolManchester Utd
6,Newcastle Utd,Crystal Palace,0.591,0.313,0.09699999999999999,Newcastle UtdCrystal Palace
7,Manchester City,Brighton,0.977,0.011000000000000001,0.011000000000000001,Manchester CityBrighton
8,Burnley,Southampton,0.107,0.311,0.5820000000000001,BurnleySouthampton
9,Watford,Everton,0.156,0.35200000000000004,0.49200000000000005,WatfordEverton
0,Liverpool,Watford,0.975,0.012,0.012,LiverpoolWatford
1,Brighton,Norwich City,0.8109999999999999,0.134,0.055,BrightonNorwich City
2,Burnley,Manchester City,0.012,0.006,0.982,BurnleyManchester City
3,Chelsea,Brentford,0.951,0.024,0.024,ChelseaBrentford
4,Leeds United,Southampton,0.23800000000000002,0.402,0.36,Leeds UnitedSouthampton
5,Wolves,Aston Villa,0.604,0.22,0.177,WolvesAston Villa
6,Manchester Utd,Leicester City,0.823,0.14,0.037000000000000005,Manchester UtdLeicester City
7,West Ham,Everton,0.8540000000000001,0.085,0.061,West HamEverton
8,Tottenham,Newcastle Utd,0.866,0.079,0.055,TottenhamNewcastle Utd
9,Crystal Palace,Arsenal,0.024,0.085,0.8909999999999999,Crystal PalaceArsenal
0,Newcastle Utd,Wolves,0.248,0.389,0.363,Newcastle UtdWolves
1,Everton,Manchester Utd,0.061,0.08,0.8590000000000001,EvertonManchester Utd
2,Arsenal,Brighton,0.9209999999999999,0.055,0.024,ArsenalBrighton
3,Southampton,Chelsea,0.079,0.14,0.78,SouthamptonChelsea
4,Watford,Leeds United,0.207,0.433,0.36,WatfordLeeds United
5,Aston Villa,Tottenham,0.073,0.152,0.774,Aston VillaTottenham
6,Brentford,West Ham,0.14300000000000002,0.185,0.6729999999999999,BrentfordWest Ham
7,Leicester City,Crystal Palace,0.726,0.22,0.054000000000000006,Leicester CityCrystal Palace
8,Norwich City,Burnley,0.25,0.39899999999999997,0.35100000000000003,Norwich CityBurnley
9,(1.),Liverpool,0.325,0.396,0.278,(1.)Liverpool
0,Tottenham,Brighton,0.9740000000000001,0.019,0.006,TottenhamBrighton
1,Manchester Utd,Norwich City,0.975,0.013000000000000001,0.013000000000000001,Manchester UtdNorwich City
2,Southampton,Arsenal,0.044000000000000004,0.184,0.772,SouthamptonArsenal
3,Watford,Brentford,0.19699999999999998,0.261,0.541,WatfordBrentford
4,Newcastle Utd,Leicester City,0.196,0.294,0.509,Newcastle UtdLeicester City
5,West Ham,Burnley,0.9570000000000001,0.031,0.012,West HamBurnley
6,Aston Villa,Liverpool,0.012,0.028999999999999998,0.9590000000000001,Aston VillaLiverpool
7,Leeds United,Chelsea,0.04,0.081,0.879,Leeds UnitedChelsea
8,Wolves,Manchester City,0.028999999999999998,0.053,0.9179999999999999,WolvesManchester City
9,Everton,Crystal Palace,0.445,0.353,0.20199999999999999,EvertonCrystal Palace
0,Arsenal,Manchester Utd,0.509,0.28300000000000003,0.20800000000000002,ArsenalManchester Utd
1,Leicester City,Aston Villa,0.794,0.106,0.1,Leicester CityAston Villa
