,HomeTeam,AwayTeam,FTR,H,D,A,player_stats_vote
71,Manchester Utd,Manchester City,A,0.3497638888888888,0.2533958333333334,0.3968402777777778,A
72,Brentford,Norwich City,A,0.6452053571428571,0.19906845238095233,0.15572619047619046,H
73,Chelsea,Burnley,D,0.7122395833333333,0.16670833333333332,0.12105208333333328,H
74,Crystal Palace,Wolves,H,0.34911607142857143,0.2337708333333333,0.41711309523809526,A
75,Brighton,Newcastle Utd,D,0.6265148809523808,0.16423511904761906,0.20924999999999996,H
76,Arsenal,Watford,H,0.5795654761904764,0.14189880952380948,0.27853571428571433,H
77,Everton,Tottenham,D,0.35054166666666675,0.2135565476190476,0.4359017857142856,A
78,Leeds United,Leicester City,D,0.1903229166666667,0.2520520833333333,0.5576249999999999,A
79,West Ham,Liverpool,H,0.19105555555555553,0.18718750000000003,0.6217569444444442,A
80,Leicester City,Chelsea,A,0.20821726190476203,0.20614880952380954,0.5856339285714287,A
81,Aston Villa,Brighton,H,0.3775625000000001,0.25152083333333336,0.3709166666666667,H
82,Burnley,Crystal Palace,D,0.2510625,0.3547708333333334,0.39416666666666667,A
83,Newcastle Utd,Brentford,D,0.3023541666666667,0.3516647727272727,0.34598106060606065,D
84,Norwich City,Southampton,H,0.2801250000000001,0.3967842261904762,0.32309077380952383,D
85,Watford,Manchester Utd,H,0.22047619047619044,0.2775238095238096,0.502,A
86,Wolves,West Ham,H,0.40454166666666663,0.29516666666666663,0.3002916666666667,H
87,Liverpool,Arsenal,H,0.6374449404761904,0.1783363095238095,0.18421875000000004,H
88,Manchester City,Everton,H,0.6154613095238092,0.20994642857142862,0.1745922619047619,H
89,Tottenham,Leeds United,H,0.5734999999999999,0.20234821428571428,0.22415178571428573,H
90,Arsenal,Newcastle Utd,H,0.49598214285714276,0.24537499999999998,0.25864285714285723,H
91,Crystal Palace,Aston Villa,A,0.5806071428571428,0.1956875,0.2237053571428572,H
92,Liverpool,Southampton,H,0.6279434523809522,0.16458928571428572,0.20746726190476195,H
93,Norwich City,Wolves,D,0.23003125000000002,0.19540624999999995,0.5745624999999999,A
94,Brighton,Leeds United,D,0.43531250000000005,0.2871041666666667,0.27758333333333346,H
95,Brentford,Everton,H,0.43881249999999994,0.26939880952380946,0.2917886904761905,H
96,Leicester City,Watford,H,0.513532738095238,0.22465178571428582,0.2618154761904761,H
97,Manchester City,West Ham,H,0.5443452380952382,0.18908035714285706,0.2665744047619048,H
98,Chelsea,Manchester Utd,D,0.7765208333333335,0.07134375,0.15213541666666663,H
99,Newcastle Utd,Norwich City,D,0.3353541666666667,0.44774999999999976,0.21689583333333334,D
100,Leeds United,Crystal Palace,H,0.27271428571428585,0.23236011904761905,0.49492559523809526,A
101,Southampton,Leicester City,D,0.2718630952380952,0.2698556547619048,0.4582812499999999,A
102,Watford,Chelsea,A,0.1260372023809524,0.10545238095238098,0.7685104166666668,A
103,West Ham,Brighton,D,0.5514166666666669,0.2245397727272727,0.22404356060606065,H
104,Wolves,Burnley,D,0.6518482142857145,0.21287499999999995,0.1352767857142857,H
105,Aston Villa,Manchester City,A,0.22977083333333337,0.1991875,0.5710416666666664,A
106,Everton,Liverpool,A,0.21850396825396828,0.22224603174603172,0.5592499999999998,A
107,Tottenham,Brentford,H,0.5992916666666667,0.17954166666666674,0.2211666666666667,H
108,Manchester Utd,Arsenal,H,0.2526175595238095,0.29868411796536803,0.4486983225108224,A
109,West Ham,Chelsea,H,0.20705059523809516,0.1701666666666667,0.622782738095238,A
110,Newcastle Utd,Burnley,H,0.39919444444444435,0.28643055555555563,0.314375,H
111,Southampton,Brighton,D,0.44667559523809525,0.18703273809523807,0.3662916666666667,H
112,Wolves,Liverpool,A,0.34942261904761907,0.19039434523809529,0.4601830357142858,A
113,Watford,Manchester City,A,0.11393749999999998,0.14982291666666658,0.7362395833333331,A
114,Leeds United,Brentford,D,0.5498005952380951,0.1762529761904762,0.27394642857142854,H
115,Manchester Utd,Crystal Palace,H,0.4785104166666667,0.2236190476190476,0.29787053571428584,H
116,Tottenham,Norwich City,H,0.5643660714285716,0.19688095238095243,0.23875297619047625,H
117,Aston Villa,Leicester City,H,0.3478333333333334,0.22930357142857133,0.4228630952380951,A
118,Everton,Arsenal,H,0.25911904761904764,0.23236309523809523,0.508517857142857,A
119,Brentford,Watford,H,0.3075059523809524,0.32729265873015884,0.36520138888888887,A
120,Manchester City,Wolves,H,0.5258670634920635,0.1879632936507936,0.28616964285714297,H
121,Arsenal,Southampton,H,0.5803303571428571,0.18654613095238085,0.23312351190476194,H
122,Chelsea,Leeds United,H,0.7502619047619047,0.12585416666666668,0.12388392857142856,H
123,Liverpool,Aston Villa,H,0.7745729166666666,0.10824107142857146,0.11718601190476191,H
124,Norwich City,Manchester Utd,A,0.19640476190476197,0.30097916666666674,0.5026160714285718,A
125,Burnley,West Ham,D,0.1841369047619047,0.3747708333333334,0.4410922619047618,A
126,Leicester City,Newcastle Utd,H,0.578377976190476,0.26383333333333336,0.1577886904761905,H
127,Crystal Palace,Everton,H,0.41181250000000014,0.32892559523809534,0.25926190476190475,H
128,Norwich City,Aston Villa,A,0.2417916666666667,0.35158333333333347,0.406625,A
129,Manchester City,Leeds United,H,0.696980654761905,0.137515873015873,0.16550347222222217,H
130,Brighton,Wolves,A,0.42774999999999985,0.31042708333333335,0.2618229166666667,H
131,Crystal Palace,Southampton,D,0.4557767857142857,0.17816815476190473,0.36605505952380946,H
132,Arsenal,West Ham,H,0.27761011904761895,0.21632589285714288,0.506063988095238,A
133,Chelsea,Everton,D,0.8479806547619049,0.07161458333333333,0.08040476190476191,H
134,Liverpool,Newcastle Utd,H,0.7950238095238094,0.10555059523809524,0.09942559523809522,H
135,Leeds United,Arsenal,A,0.27881845238095243,0.27450595238095243,0.4466755952380953,A
136,Newcastle Utd,Manchester City,A,0.1500595238095238,0.14491071428571428,0.7050297619047615,A
137,Wolves,Chelsea,D,0.25212499999999993,0.18202083333333344,0.5658541666666665,A
138,Tottenham,Liverpool,D,0.3447857142857142,0.16095833333333323,0.4942559523809525,A
139,Manchester City,Leicester City,H,0.5283988095238095,0.23325744047619046,0.23834375000000008,H
140,Norwich City,Arsenal,A,0.2637708333333334,0.34663392857142855,0.3895952380952382,A
141,Tottenham,Crystal Palace,H,0.5409791666666667,0.23649999999999996,0.2225208333333335,H
142,West Ham,Southampton,A,0.4449166666666668,0.251891369047619,0.3031919642857143,H
143,Aston Villa,Chelsea,A,0.20611904761904756,0.15086011904761903,0.6430208333333334,A
144,Brighton,Brentford,H,0.4633928571428571,0.24397321428571422,0.29263392857142856,H
145,Newcastle Utd,Manchester Utd,D,0.25115327380952374,0.38248809523809507,0.36635863095238086,D
146,Crystal Palace,Norwich City,H,0.46359226190476205,0.28152232142857153,0.2548854166666667,H
147,Southampton,Tottenham,D,0.17711904761904773,0.3223303571428572,0.5005505952380953,A
148,Watford,West Ham,A,0.19833333333333333,0.34143750000000006,0.4602291666666668,A
149,Leicester City,Liverpool,H,0.24799107142857144,0.16869791666666664,0.5833110119047615,A
150,Chelsea,Brighton,D,0.7202291666666667,0.12247916666666661,0.1572916666666667,H
151,Brentford,Manchester City,A,0.10687797619047616,0.14642559523809526,0.7466964285714285,A
152,Manchester Utd,Burnley,H,0.4452440476190477,0.28880654761904767,0.26594940476190476,H
153,Arsenal,Manchester City,A,0.23600297619047614,0.16306250000000005,0.6009345238095236,A
154,Watford,Tottenham,A,0.15478869047619048,0.24012797619047613,0.6050833333333333,A
155,Crystal Palace,West Ham,A,0.1954375,0.31882142857142853,0.4857410714285713,A
156,Brentford,Aston Villa,H,0.20951785714285717,0.38324107142857144,0.4072410714285715,A
157,Everton,Brighton,A,0.26133482142857156,0.40718749999999987,0.3314776785714286,D
158,Leeds United,Burnley,H,0.4616369047619047,0.2848630952380952,0.2535,H
159,Chelsea,Liverpool,D,0.32025000000000003,0.2144136904761905,0.46533630952380955,A
160,Manchester Utd,Wolves,A,0.6444285714285712,0.1440297619047619,0.21154166666666668,H
161,Southampton,Brentford,H,0.33968154761904773,0.3255416666666667,0.33477678571428576,H
162,West Ham,Norwich City,H,0.7073065476190474,0.1281875,0.16450595238095236,H
163,Brighton,Crystal Palace,D,0.36494345238095244,0.3010848214285714,0.3339717261904761,H
164,Manchester City,Chelsea,H,0.6184732142857142,0.1368988095238095,0.24462797619047624,H
165,Newcastle Utd,Watford,D,0.3293035714285715,0.21934226190476191,0.4513541666666667,A
166,Norwich City,Everton,H,0.24425297619047612,0.3333958333333332,0.4223511904761905,A
167,Wolves,Southampton,H,0.3529166666666667,0.30066666666666664,0.3464166666666666,H
168,Aston Villa,Manchester Utd,D,0.3138244047619049,0.25482142857142864,0.4313541666666665,A
169,Liverpool,Brentford,H,0.7309285714285714,0.12065624999999999,0.1484151785714286,H
170,West Ham,Leeds United,A,0.5572321428571428,0.20972916666666674,0.23303869047619052,H
171,Brighton,Chelsea,D,0.2594047619047618,0.17881845238095245,0.5617767857142858,A
172,Leicester City,Tottenham,A,0.23533333333333342,0.2022425595238095,0.5624241071428567,A
173,Brentford,Manchester Utd,A,0.20949702380952387,0.2446369047619049,0.5458660714285712,A
