,A,D,H
0,0.18630357142857143,0.17600297619047628,0.6376934523809525
1,0.13112500000000002,0.2092827380952381,0.6595922619047618
2,0.6791919642857144,0.15128125000000003,0.16952678571428564
3,0.7392916666666665,0.15683630952380953,0.10387202380952379
4,0.06454464285714287,0.0680922619047619,0.8673630952380953
5,0.19691815476190475,0.6175059523809526,0.1855758928571429
6,0.644151785714286,0.15538392857142858,0.20046428571428573
7,0.10914583333333336,0.1266160714285714,0.7642380952380954
8,0.7613437500000002,0.14899255952380944,0.08966369047619047
9,0.089125,0.08983333333333336,0.8210416666666666
10,0.16510416666666664,0.6828839285714285,0.15201190476190474
11,0.6465347222222223,0.13393750000000001,0.21952777777777782
12,0.6751875000000002,0.2044464285714285,0.12036607142857139
13,0.12524156746031742,0.13407837301587303,0.7406800595238093
14,0.1307440476190476,0.589263392857143,0.27999255952380964
15,0.6975277777777777,0.1453670634920635,0.15710515873015873
16,0.16043749999999998,0.18871130952380955,0.6508511904761906
17,0.1488958333333333,0.12708333333333335,0.7240208333333333
18,0.7897708333333335,0.09191666666666665,0.1183125
19,0.6962455357142858,0.16493750000000001,0.13881696428571427
20,0.730294642857143,0.12152380952380953,0.14818154761904764
21,0.5680610119047619,0.11448511904761911,0.31745386904761913
22,0.10139285714285712,0.08199999999999999,0.8166071428571429
23,0.7531468253968252,0.11490972222222222,0.13194345238095234
24,0.11214583333333333,0.6221101190476191,0.2657440476190477
25,0.12107142857142855,0.6704761904761903,0.20845238095238097
26,0.2799166666666667,0.6141249999999999,0.10595833333333333
27,0.7133640873015875,0.11731547619047616,0.16932043650793652
28,0.23147916666666662,0.13314583333333324,0.6353750000000001
29,0.17586210317460313,0.6267569444444444,0.1973809523809524
30,0.1379404761904761,0.6075401785714287,0.25451934523809533
31,0.11239285714285713,0.7129613095238099,0.17464583333333333
32,0.13412797619047614,0.08095833333333331,0.7849136904761908
33,0.16576190476190483,0.14173809523809522,0.6925
34,0.13507291666666663,0.17406696428571425,0.690860119047619
35,0.14968749999999992,0.5792261904761904,0.2710863095238095
36,0.2237499999999999,0.6706130952380954,0.10563690476190477
37,0.07899404761904763,0.12643749999999995,0.7945684523809523
38,0.5712291666666663,0.09964583333333328,0.32912500000000017
39,0.16484821428571425,0.6072589285714285,0.22789285714285706
40,0.7816934523809522,0.1345029761904762,0.08380357142857144
41,0.6795208333333335,0.08943749999999998,0.23104166666666676
42,0.2849419642857144,0.11666369047619048,0.5983943452380955
43,0.05705952380952382,0.07650892857142857,0.8664315476190475
44,0.29449107142857156,0.5941651785714286,0.11134374999999996
45,0.11827083333333333,0.1783363095238095,0.7033928571428573
46,0.8032708333333336,0.10077083333333332,0.09595833333333335
47,0.675630952380952,0.11937499999999998,0.20499404761904763
48,0.740169642857143,0.1521845238095238,0.10764583333333329
49,0.1576989087301587,0.646373511904762,0.1959275793650794
