,home_team,away_team,H,D,A,game_id
0,Leicester,Newcastle,0.968,0.032,0.0,LeicesterNewcastle
1,Leeds,Tottenham,0.113,0.26899999999999996,0.619,LeedsTottenham
2,Sheffield United,Crystal Palace,0.061,0.19,0.748,Sheffield UnitedCrystal Palace
3,Man City,Chelsea,0.687,0.245,0.067,Man CityChelsea
4,Liverpool,Southampton,0.9329999999999999,0.031,0.037000000000000005,LiverpoolSouthampton
5,Wolves,Brighton,0.604,0.299,0.098,WolvesBrighton
6,Aston Villa,Man United,0.036000000000000004,0.102,0.861,Aston VillaMan United
7,West Ham,Everton,0.645,0.259,0.096,West HamEverton
8,Arsenal,West Brom,0.8809999999999999,0.065,0.054000000000000006,ArsenalWest Brom
9,Fulham,Burnley,0.335,0.39399999999999996,0.271,FulhamBurnley
0,Man United,Leicester,0.802,0.14300000000000002,0.055999999999999994,Man UnitedLeicester
1,Chelsea,Arsenal,0.899,0.086,0.013999999999999999,ChelseaArsenal
2,Newcastle,Man City,0.006999999999999999,0.027000000000000003,0.966,NewcastleMan City
3,Burnley,Leeds,0.078,0.27899999999999997,0.643,BurnleyLeeds
4,Southampton,Fulham,0.753,0.203,0.044000000000000004,SouthamptonFulham
5,Brighton,West Ham,0.07,0.102,0.828,BrightonWest Ham
6,Crystal Palace,Aston Villa,0.19,0.43700000000000006,0.373,Crystal PalaceAston Villa
7,Tottenham,Wolves,0.9059999999999999,0.069,0.025,TottenhamWolves
8,West Brom,Liverpool,0.013000000000000001,0.019,0.968,West BromLiverpool
9,Everton,Sheffield United,0.987,0.013000000000000001,0.0,EvertonSheffield United
0,Man United,Fulham,1.0,0.0,0.0,Man UnitedFulham
1,Southampton,Leeds,0.245,0.39899999999999997,0.35700000000000004,SouthamptonLeeds
2,Brighton,Man City,0.006999999999999999,0.048,0.945,BrightonMan City
3,Chelsea,Leicester,0.6709999999999999,0.27399999999999997,0.055,ChelseaLeicester
4,Everton,Wolves,0.7909999999999999,0.135,0.07400000000000001,EvertonWolves
5,Newcastle,Sheffield United,0.838,0.128,0.034,NewcastleSheffield United
6,Tottenham,Aston Villa,0.878,0.10800000000000001,0.013999999999999999,TottenhamAston Villa
7,Crystal Palace,Arsenal,0.053,0.132,0.815,Crystal PalaceArsenal
8,Burnley,Liverpool,0.02,0.033,0.948,BurnleyLiverpool
9,West Brom,West Ham,0.026000000000000002,0.07200000000000001,0.902,West BromWest Ham
0,Arsenal,Brighton,0.93,0.051,0.019,ArsenalBrighton
1,Aston Villa,Chelsea,0.038,0.115,0.846,Aston VillaChelsea
2,Fulham,Newcastle,0.17800000000000002,0.42700000000000005,0.395,FulhamNewcastle
3,Leeds,West Brom,0.9359999999999999,0.038,0.025,LeedsWest Brom
4,Leicester,Tottenham,0.618,0.299,0.083,LeicesterTottenham
5,Liverpool,Crystal Palace,0.9620000000000001,0.025,0.013000000000000001,LiverpoolCrystal Palace
6,Man City,Everton,0.8340000000000001,0.102,0.064,Man CityEverton
7,Sheffield United,Burnley,0.172,0.242,0.586,Sheffield UnitedBurnley
8,West Ham,Southampton,0.879,0.08900000000000001,0.032,West HamSouthampton
9,Wolves,Man United,0.038,0.115,0.847,WolvesMan United
