player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,matchweek
Sadio Mané,10.0,sn SEN,LW,29-224,90.0,1.0,1.0,47.0,4.0,1.0,0.0,2.0,2.0,14.0,1.0,1.0,0.0,0.4,0.8,31.0,77.4,2.0,5.0,3.0,5.0, (Matchweek 12)
Mohamed Salah,11.0,eg EGY,RW,29-158,90.0,1.0,0.0,47.0,3.0,1.0,0.0,4.0,2.0,11.0,0.0,0.0,0.0,1.2,0.4,32.0,81.3,2.0,7.0,1.0,4.0, (Matchweek 12)
Thiago Alcántara,6.0,es ESP,CM,30-223,83.0,0.0,0.0,89.0,4.0,0.0,0.0,2.0,1.0,14.0,3.0,2.0,1.0,0.2,0.3,82.0,95.1,9.0,6.0,0.0,1.0, (Matchweek 12)
Tyler Morton,80.0,eng ENG,CM,19-020,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,85.7,0.0,0.0,0.0,0.0, (Matchweek 12)
Alex Oxlade-Chamberlain,15.0,eng ENG,CM,28-097,75.0,0.0,0.0,43.0,4.0,0.0,0.0,3.0,0.0,18.0,3.0,1.0,3.0,0.1,0.0,30.0,70.0,2.0,6.0,1.0,3.0, (Matchweek 12)
Jordan Henderson,14.0,eng ENG,CM,31-156,15.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,90.5,2.0,0.0,0.0,0.0, (Matchweek 12)
Fabinho,3.0,br BRA,DM,28-028,90.0,0.0,0.0,67.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,1.0,0.0,0.1,59.0,96.6,4.0,2.0,1.0,1.0, (Matchweek 12)
Kostas Tsimikas,21.0,gr GRE,LB,25-192,90.0,0.0,0.0,67.0,2.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.4,59.0,74.6,4.0,7.0,1.0,2.0, (Matchweek 12)
Virgil van Dijk,4.0,nl NED,CB,30-135,90.0,0.0,0.0,112.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.1,0.0,104.0,88.5,1.0,1.0,0.0,0.0, (Matchweek 12)
Joël Matip,32.0,cm CMR,CB,30-104,90.0,0.0,0.0,82.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,77.0,92.2,3.0,4.0,0.0,0.0, (Matchweek 12)
