player,team,matchweek,date,start11
David Raya,Brentford,1.0,2021-08-13,True
Rico Henry,Brentford,1.0,2021-08-13,True
Ethan Pinnock,Brentford,1.0,2021-08-13,True
Christian Nørgaard,Brentford,1.0,2021-08-13,True
Sergi Canós,Brentford,1.0,2021-08-13,True
Frank Onyeka,Brentford,1.0,2021-08-13,True
Ivan Toney,Brentford,1.0,2021-08-13,True
Pontus Jansson,Brentford,1.0,2021-08-13,True
Bryan Mbeumo,Brentford,1.0,2021-08-13,True
Kristoffer Ajer,Brentford,1.0,2021-08-13,True
Vitaly Janelt,Brentford,1.0,2021-08-13,True
Patrik Gunnarsson,Brentford,1.0,2021-08-13,False
Charlie Goode,Brentford,1.0,2021-08-13,False
Marcus Forss,Brentford,1.0,2021-08-13,False
Yoane Wissa,Brentford,1.0,2021-08-13,False
Saman Ghoddos,Brentford,1.0,2021-08-13,False
Halil Dervişoğlu,Brentford,1.0,2021-08-13,False
Mads Bidstrup,Brentford,1.0,2021-08-13,False
Mads Bech Sørensen,Brentford,1.0,2021-08-13,False
Mads Roerslev,Brentford,1.0,2021-08-13,False
Bernd Leno,Arsenal,1.0,2021-08-13,True
Kieran Tierney,Arsenal,1.0,2021-08-13,True
Ben White,Arsenal,1.0,2021-08-13,True
Emile Smith Rowe,Arsenal,1.0,2021-08-13,True
Nicolas Pépé,Arsenal,1.0,2021-08-13,True
Calum Chambers,Arsenal,1.0,2021-08-13,True
Pablo Marí,Arsenal,1.0,2021-08-13,True
Albert Sambi Lokonga,Arsenal,1.0,2021-08-13,True
Folarin Balogun,Arsenal,1.0,2021-08-13,True
Granit Xhaka,Arsenal,1.0,2021-08-13,True
Martinelli,Arsenal,1.0,2021-08-13,True
Karl Jakob Hein,Arsenal,1.0,2021-08-13,False
Héctor Bellerín,Arsenal,1.0,2021-08-13,False
Bukayo Saka,Arsenal,1.0,2021-08-13,False
Ainsley Maitland-Niles,Arsenal,1.0,2021-08-13,False
Rob Holding,Arsenal,1.0,2021-08-13,False
Cédric Soares,Arsenal,1.0,2021-08-13,False
Nuno Tavares,Arsenal,1.0,2021-08-13,False
Reiss Nelson,Arsenal,1.0,2021-08-13,False
Mohamed Elneny,Arsenal,1.0,2021-08-13,False
David de Gea,Manchester United,1.0,2021-08-14,True
Victor Lindelöf,Manchester United,1.0,2021-08-14,True
Harry Maguire,Manchester United,1.0,2021-08-14,True
Paul Pogba,Manchester United,1.0,2021-08-14,True
Mason Greenwood,Manchester United,1.0,2021-08-14,True
Fred,Manchester United,1.0,2021-08-14,True
Bruno Fernandes,Manchester United,1.0,2021-08-14,True
Daniel James,Manchester United,1.0,2021-08-14,True
Luke Shaw,Manchester United,1.0,2021-08-14,True
Aaron Wan-Bissaka,Manchester United,1.0,2021-08-14,True
Scott McTominay,Manchester United,1.0,2021-08-14,True
Tom Heaton,Manchester United,1.0,2021-08-14,False
Juan Mata,Manchester United,1.0,2021-08-14,False
Anthony Martial,Manchester United,1.0,2021-08-14,False
Andreas Pereira,Manchester United,1.0,2021-08-14,False
Diogo Dalot,Manchester United,1.0,2021-08-14,False
Jadon Sancho,Manchester United,1.0,2021-08-14,False
Nemanja Matić,Manchester United,1.0,2021-08-14,False
Brandon Williams,Manchester United,1.0,2021-08-14,False
Donny van de Beek,Manchester United,1.0,2021-08-14,False
Illan Meslier,Leeds United,1.0,2021-08-14,True
Luke Ayling,Leeds United,1.0,2021-08-14,True
Robin Koch,Leeds United,1.0,2021-08-14,True
Liam Cooper,Leeds United,1.0,2021-08-14,True
Patrick Bamford,Leeds United,1.0,2021-08-14,True
Raphinha,Leeds United,1.0,2021-08-14,True
Stuart Dallas,Leeds United,1.0,2021-08-14,True
