player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
Marek Rodák,5.0,3.0,2.0,40.0,2.5, (Matchweek 1)
Bernd Leno,2.0,0.0,2.0,100.0,0.0, (Matchweek 1)
Vicente Guaita,5.0,0.0,5.0,100.0,0.8, (Matchweek 1)
Alex McCarthy,3.0,1.0,2.0,66.7,0.7, (Matchweek 1)
Alisson,3.0,3.0,0.0,0.0,2.1, (Matchweek 1)
Illan Meslier,4.0,4.0,2.0,50.0,3.7, (Matchweek 1)
Łukasz Fabiański,3.0,2.0,1.0,33.3,2.1, (Matchweek 1)
Karl Darlow,3.0,0.0,3.0,100.0,0.9, (Matchweek 1)
Sam Johnstone,5.0,3.0,4.0,80.0,3.0, (Matchweek 1)
Kasper Schmeichel,1.0,0.0,1.0,100.0,0.1, (Matchweek 1)
Hugo Lloris,5.0,1.0,4.0,80.0,0.5, (Matchweek 1)
Jordan Pickford,5.0,0.0,5.0,100.0,0.6, (Matchweek 1)
Aaron Ramsdale,4.0,2.0,1.0,50.0,0.5, (Matchweek 1)
Rui Patrício,1.0,0.0,1.0,100.0,0.0, (Matchweek 1)
Mathew Ryan,4.0,3.0,2.0,50.0,1.7, (Matchweek 1)
Kepa Arrizabalaga,3.0,1.0,2.0,66.7,0.2, (Matchweek 1)
Jordan Pickford,4.0,2.0,2.0,50.0,0.5, (Matchweek 2)
Sam Johnstone,7.0,5.0,2.0,28.6,4.1, (Matchweek 2)
Illan Meslier,5.0,3.0,3.0,60.0,2.0, (Matchweek 2)
Alphonse Areola,6.0,4.0,3.0,50.0,3.0, (Matchweek 2)
David de Gea,4.0,3.0,2.0,50.0,2.3, (Matchweek 2)
Vicente Guaita,4.0,1.0,3.0,75.0,1.3, (Matchweek 2)
Bernd Leno,3.0,1.0,2.0,66.7,0.9, (Matchweek 2)
Łukasz Fabiański,3.0,2.0,1.0,33.3,1.1, (Matchweek 2)
Alex McCarthy,6.0,5.0,0.0,16.7,2.5, (Matchweek 2)
Hugo Lloris,5.0,2.0,4.0,80.0,1.8, (Matchweek 2)
Karl Darlow,5.0,3.0,3.0,60.0,2.5, (Matchweek 2)
Mathew Ryan,0.0,0.0,0.0,0.0,0.0, (Matchweek 2)
Kepa Arrizabalaga,5.0,2.0,3.0,60.0,1.8, (Matchweek 2)
Alisson,2.0,0.0,2.0,100.0,1.0, (Matchweek 2)
Kasper Schmeichel,5.0,2.0,3.0,60.0,1.8, (Matchweek 2)
Nick Pope,6.0,4.0,3.0,33.3,2.5, (Matchweek 2)
Emiliano Martínez,0.0,0.0,0.0,0.0,0.8, (Matchweek 2)
Aaron Ramsdale,2.0,1.0,1.0,50.0,0.8, (Matchweek 2)
Rui Patrício,8.0,3.0,6.0,75.0,2.2, (Matchweek 2)
Ederson,1.0,1.0,0.0,0.0,0.4, (Matchweek 2)
Mathew Ryan,2.0,3.0,1.0,0.0,1.9, (Matchweek 3)
David de Gea,3.0,2.0,2.0,66.7,2.0, (Matchweek 3)
Vicente Guaita,4.0,2.0,3.0,75.0,2.9, (Matchweek 3)
Jordan Pickford,1.0,1.0,0.0,0.0,0.7, (Matchweek 3)
Sam Johnstone,11.0,3.0,8.0,72.7,3.8, (Matchweek 3)
