player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,matchweek
Alexandre Lacazette,9.0,fr FRA,"FW,LW",26-075,90.0,1.0,0.0,36.0,7.0,2.0,0.0,3.0,2.0,18.0,1.0,0.0,1.0,0.3,0.3,25.0,84.0,1.0,1.0,1.0,1.0, (Matchweek 1)
Danny Welbeck,23.0,eng ENG,"AM,RW",26-258,74.0,1.0,0.0,32.0,4.0,0.0,0.0,3.0,1.0,10.0,1.0,3.0,1.0,0.9,0.3,20.0,80.0,1.0,6.0,2.0,2.0, (Matchweek 1)
Theo Walcott,14.0,eng ENG,RW,28-148,16.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,50.0,0.0,1.0,0.0,0.0, (Matchweek 1)
Mesut Özil,11.0,de GER,AM,28-300,90.0,0.0,0.0,96.0,9.0,0.0,0.0,3.0,0.0,8.0,2.0,0.0,0.0,0.2,0.3,87.0,80.5,4.0,7.0,1.0,3.0, (Matchweek 1)
Granit Xhaka,29.0,ch SUI,DM,24-318,90.0,0.0,2.0,115.0,12.0,2.0,0.0,4.0,1.0,8.0,1.0,2.0,1.0,0.1,0.3,104.0,82.7,15.0,10.0,1.0,1.0, (Matchweek 1)
Mohamed Elneny,35.0,eg EGY,DM,25-031,66.0,0.0,1.0,83.0,3.0,1.0,0.0,1.0,0.0,10.0,4.0,2.0,1.0,0.0,0.1,73.0,90.4,6.0,4.0,0.0,0.0, (Matchweek 1)
Aaron Ramsey,8.0,wls WAL,DM,26-228,24.0,1.0,0.0,19.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.4,0.0,11.0,72.7,1.0,1.0,0.0,0.0, (Matchweek 1)
Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90.0,0.0,0.0,83.0,4.0,0.0,0.0,6.0,2.0,6.0,3.0,4.0,2.0,0.2,0.1,65.0,72.3,4.0,15.0,5.0,5.0, (Matchweek 1)
Héctor Bellerín,24.0,es ESP,"WB,LB",22-145,90.0,0.0,0.0,82.0,6.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.2,0.0,67.0,88.1,4.0,2.0,1.0,4.0, (Matchweek 1)
Sead Kolašinac,31.0,ba BIH,CB,24-052,90.0,0.0,1.0,81.0,1.0,1.0,0.0,1.0,1.0,13.0,5.0,2.0,0.0,0.0,0.7,74.0,78.4,6.0,12.0,1.0,1.0, (Matchweek 1)
