player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
David Raya,4.0,0.0,4.0,100.0,0.4, (Matchweek 1)
Bernd Leno,3.0,2.0,1.0,33.3,0.9, (Matchweek 1)
David de Gea,3.0,1.0,2.0,66.7,0.6, (Matchweek 1)
Illan Meslier,8.0,5.0,3.0,37.5,1.9, (Matchweek 1)
Kasper Schmeichel,3.0,0.0,3.0,100.0,0.3, (Matchweek 1)
José Sá,5.0,1.0,4.0,80.0,1.5, (Matchweek 1)
Nick Pope,6.0,2.0,4.0,66.7,1.3, (Matchweek 1)
Robert Sánchez,3.0,1.0,2.0,66.7,0.8, (Matchweek 1)
Edouard Mendy,1.0,0.0,1.0,100.0,0.1, (Matchweek 1)
Vicente Guaita,6.0,3.0,3.0,50.0,1.8, (Matchweek 1)
Daniel Bachmann,1.0,2.0,0.0,0.0,1.8, (Matchweek 1)
Emiliano Martínez,7.0,3.0,4.0,57.1,1.1, (Matchweek 1)
Jordan Pickford,3.0,1.0,2.0,66.7,1.0, (Matchweek 1)
Alex McCarthy,6.0,3.0,3.0,50.0,3.7, (Matchweek 1)
Tim Krul,6.0,3.0,3.0,50.0,1.6, (Matchweek 1)
Alisson,4.0,0.0,4.0,100.0,1.0, (Matchweek 1)
Freddie Woodman,7.0,4.0,3.0,42.9,3.1, (Matchweek 1)
Łukasz Fabiański,3.0,2.0,1.0,33.3,1.5, (Matchweek 1)
Hugo Lloris,4.0,0.0,4.0,100.0,0.3, (Matchweek 1)
Ederson,2.0,1.0,1.0,50.0,0.6, (Matchweek 1)
Alisson,3.0,0.0,3.0,100.0,0.7, (Matchweek 2)
Nick Pope,8.0,2.0,6.0,75.0,2.0, (Matchweek 2)
Emiliano Martínez,1.0,0.0,1.0,100.0,0.0, (Matchweek 2)
Freddie Woodman,1.0,2.0,0.0,0.0,1.4, (Matchweek 2)
Ederson,0.0,0.0,0.0,0.0,0.0, (Matchweek 2)
Tim Krul,4.0,5.0,0.0,-25.0,3.2, (Matchweek 2)
Illan Meslier,7.0,2.0,6.0,85.7,3.0, (Matchweek 2)
Jordan Pickford,4.0,2.0,2.0,50.0,1.5, (Matchweek 2)
