player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
Alisson,2.0,0.0,2.0,100.0,0.2, (Matchweek 1)
Adrián,4.0,1.0,3.0,75.0,1.0, (Matchweek 1)
Tim Krul,7.0,4.0,3.0,42.9,1.6, (Matchweek 1)
Łukasz Fabiański,8.0,5.0,4.0,50.0,3.9, (Matchweek 1)
Ederson,3.0,0.0,3.0,100.0,1.2, (Matchweek 1)
Nick Pope,3.0,0.0,3.0,100.0,0.7, (Matchweek 1)
Angus Gunn,4.0,3.0,1.0,25.0,1.2, (Matchweek 1)
Ben Foster,3.0,3.0,1.0,0.0,1.0, (Matchweek 1)
Mathew Ryan,3.0,0.0,3.0,100.0,0.6, (Matchweek 1)
Vicente Guaita,2.0,0.0,2.0,100.0,0.3, (Matchweek 1)
Jordan Pickford,2.0,0.0,2.0,100.0,0.2, (Matchweek 1)
Aaron Ramsdale,3.0,1.0,2.0,66.7,1.1, (Matchweek 1)
Dean Henderson,3.0,1.0,2.0,66.7,0.9, (Matchweek 1)
Hugo Lloris,4.0,1.0,3.0,75.0,1.1, (Matchweek 1)
Tom Heaton,7.0,3.0,4.0,57.1,3.2, (Matchweek 1)
Martin Dúbravka,2.0,1.0,1.0,50.0,0.8, (Matchweek 1)
Bernd Leno,2.0,0.0,2.0,100.0,0.2, (Matchweek 1)
Kasper Schmeichel,2.0,0.0,2.0,100.0,0.3, (Matchweek 1)
Rui Patrício,1.0,0.0,1.0,100.0,0.2, (Matchweek 1)
David de Gea,7.0,0.0,7.0,100.0,0.5, (Matchweek 1)
Kepa Arrizabalaga,4.0,4.0,1.0,25.0,3.3, (Matchweek 1)
Bernd Leno,4.0,1.0,3.0,75.0,1.7, (Matchweek 2)
Nick Pope,9.0,2.0,7.0,77.8,1.0, (Matchweek 2)
Tim Krul,3.0,1.0,2.0,66.7,1.2, (Matchweek 2)
Martin Dúbravka,8.0,3.0,5.0,62.5,2.2, (Matchweek 2)
Tom Heaton,3.0,2.0,2.0,66.7,1.4, (Matchweek 2)
Aaron Ramsdale,7.0,1.0,6.0,85.7,1.5, (Matchweek 2)
Mathew Ryan,3.0,1.0,2.0,66.7,0.5, (Matchweek 2)
Łukasz Fabiański,4.0,1.0,3.0,75.0,1.0, (Matchweek 2)
Angus Gunn,5.0,2.0,3.0,60.0,1.5, (Matchweek 2)
Adrián,3.0,1.0,2.0,66.7,1.3, (Matchweek 2)
Jordan Pickford,2.0,0.0,2.0,100.0,0.6, (Matchweek 2)
Ben Foster,2.0,1.0,1.0,50.0,0.8, (Matchweek 2)
Ederson,2.0,2.0,0.0,0.0,1.0, (Matchweek 2)
Hugo Lloris,8.0,2.0,6.0,75.0,2.1, (Matchweek 2)
Dean Henderson,4.0,0.0,4.0,100.0,0.6, (Matchweek 2)
Vicente Guaita,3.0,1.0,2.0,66.7,1.6, (Matchweek 2)
Kepa Arrizabalaga,4.0,1.0,3.0,75.0,1.0, (Matchweek 2)
Kasper Schmeichel,5.0,1.0,4.0,80.0,0.6, (Matchweek 2)
Rui Patrício,1.0,1.0,0.0,0.0,0.9, (Matchweek 2)
David de Gea,2.0,1.0,1.0,50.0,0.7, (Matchweek 2)
Tom Heaton,0.0,0.0,0.0,0.0,0.0, (Matchweek 3)
Jordan Pickford,3.0,2.0,1.0,33.3,1.1, (Matchweek 3)
Tim Krul,8.0,3.0,5.0,62.5,1.5, (Matchweek 3)
Kepa Arrizabalaga,5.0,2.0,3.0,60.0,1.4, (Matchweek 3)
Dean Henderson,3.0,2.0,1.0,33.3,0.5, (Matchweek 3)
Kasper Schmeichel,3.0,1.0,2.0,66.7,1.2, (Matchweek 3)
David de Gea,3.0,2.0,1.0,33.3,1.1, (Matchweek 3)
Vicente Guaita,3.0,1.0,2.0,66.7,0.9, (Matchweek 3)
Ben Foster,9.0,3.0,6.0,77.8,3.9, (Matchweek 3)
Łukasz Fabiański,3.0,1.0,2.0,66.7,0.8, (Matchweek 3)
Mathew Ryan,4.0,2.0,2.0,50.0,1.4, (Matchweek 3)
Angus Gunn,3.0,0.0,3.0,100.0,0.3, (Matchweek 3)
Adrián,3.0,1.0,2.0,66.7,1.0, (Matchweek 3)
Bernd Leno,4.0,3.0,2.0,50.0,2.4, (Matchweek 3)
Aaron Ramsdale,5.0,3.0,2.0,40.0,2.0, (Matchweek 3)
Ederson,7.0,1.0,6.0,85.7,2.7, (Matchweek 3)
Rui Patrício,2.0,1.0,1.0,50.0,0.8, (Matchweek 3)
Nick Pope,1.0,1.0,1.0,100.0,0.8, (Matchweek 3)
Hugo Lloris,3.0,1.0,2.0,66.7,0.7, (Matchweek 3)
Martin Dúbravka,2.0,0.0,2.0,100.0,0.1, (Matchweek 3)
Angus Gunn,8.0,1.0,7.0,87.5,1.8, (Matchweek 4)
David de Gea,2.0,1.0,1.0,50.0,0.7, (Matchweek 4)
Łukasz Fabiański,3.0,0.0,3.0,100.0,0.2, (Matchweek 4)
Tim Krul,7.0,2.0,5.0,71.4,1.8, (Matchweek 4)
Vicente Guaita,2.0,0.0,2.0,100.0,0.1, (Matchweek 4)
Tom Heaton,5.0,1.0,4.0,80.0,0.6, (Matchweek 4)
Kasper Schmeichel,2.0,1.0,1.0,50.0,0.8, (Matchweek 4)
Aaron Ramsdale,5.0,3.0,2.0,40.0,2.6, (Matchweek 4)
Kepa Arrizabalaga,2.0,2.0,1.0,0.0,0.5, (Matchweek 4)
Dean Henderson,5.0,2.0,3.0,60.0,1.9, (Matchweek 4)
Martin Dúbravka,3.0,1.0,2.0,66.7,1.3, (Matchweek 4)
Ben Foster,4.0,1.0,3.0,75.0,0.7, (Matchweek 4)
Ederson,2.0,0.0,2.0,100.0,0.3, (Matchweek 4)
Mathew Ryan,6.0,4.0,2.0,33.3,2.4, (Matchweek 4)
Nick Pope,6.0,3.0,3.0,50.0,2.4, (Matchweek 4)
Adrián,2.0,0.0,2.0,100.0,0.8, (Matchweek 4)
Jordan Pickford,5.0,2.0,3.0,60.0,1.9, (Matchweek 4)
Rui Patrício,6.0,3.0,3.0,50.0,2.2, (Matchweek 4)
Bernd Leno,8.0,2.0,7.0,87.5,2.9, (Matchweek 4)
Hugo Lloris,8.0,2.0,6.0,75.0,1.9, (Matchweek 4)
Adrián,1.0,1.0,0.0,0.0,0.6, (Matchweek 5)
Martin Dúbravka,8.0,3.0,5.0,62.5,3.8, (Matchweek 5)
Rui Patrício,6.0,5.0,1.0,16.7,3.2, (Matchweek 5)
Kepa Arrizabalaga,4.0,2.0,3.0,50.0,1.0, (Matchweek 5)
Mathew Ryan,1.0,1.0,0.0,0.0,0.3, (Matchweek 5)
Nick Pope,5.0,1.0,4.0,80.0,1.0, (Matchweek 5)
