player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
Jordan Pickford,1.0,1.0,0.0,100.0,1.1, (Matchweek 25)
Kasper Schmeichel,3.0,2.0,1.0,33.3,1.6, (Matchweek 25)
Karl Darlow,2.0,1.0,1.0,50.0,0.8, (Matchweek 25)
Nick Pope,3.0,1.0,2.0,66.7,2.1, (Matchweek 25)
Jack Butland,2.0,0.0,2.0,100.0,0.7, (Matchweek 25)
Orestis Karnezis,4.0,0.0,4.0,100.0,0.4, (Matchweek 25)
Ederson,1.0,0.0,1.0,100.0,0.0, (Matchweek 25)
Ben Foster,10.0,3.0,7.0,70.0,4.0, (Matchweek 25)
Hugo Lloris,3.0,0.0,3.0,100.0,0.7, (Matchweek 25)
David de Gea,6.0,2.0,5.0,66.7,2.3, (Matchweek 25)
Nick Pope,7.0,1.0,6.0,85.7,1.4, (Matchweek 26)
Ederson,3.0,1.0,1.0,66.7,1.4, (Matchweek 26)
Ben Foster,5.0,3.0,2.0,40.0,2.0, (Matchweek 26)
Alex McCarthy,3.0,2.0,1.0,33.3,1.8, (Matchweek 26)
Asmir Begović,3.0,1.0,2.0,66.7,0.9, (Matchweek 26)
Jack Butland,6.0,2.0,4.0,66.7,2.2, (Matchweek 26)
David de Gea,0.0,0.0,0.0,0.0,0.0, (Matchweek 26)
Jonas Lössl,6.0,2.0,4.0,66.7,1.6, (Matchweek 26)
Mathew Ryan,1.0,1.0,0.0,0.0,0.9, (Matchweek 26)
Adrián,5.0,3.0,2.0,40.0,1.9, (Matchweek 26)
Kasper Schmeichel,1.0,1.0,0.0,0.0,0.7, (Matchweek 26)
Łukasz Fabiański,4.0,1.0,3.0,75.0,0.5, (Matchweek 26)
Petr Čech,1.0,1.0,0.0,0.0,0.2, (Matchweek 26)
David Ospina,1.0,0.0,1.0,100.0,0.0, (Matchweek 26)
Jordan Pickford,7.0,5.0,2.0,28.6,3.3, (Matchweek 26)
Wayne Hennessey,8.0,1.0,7.0,87.5,1.4, (Matchweek 26)
Karl Darlow,3.0,1.0,3.0,100.0,1.5, (Matchweek 26)
Loris Karius,4.0,2.0,3.0,75.0,2.6, (Matchweek 26)
Hugo Lloris,3.0,2.0,1.0,33.3,1.8, (Matchweek 26)
Orestis Karnezis,3.0,1.0,2.0,66.7,1.5, (Matchweek 26)
Thibaut Courtois,7.0,4.0,4.0,57.1,3.5, (Matchweek 26)
Hugo Lloris,1.0,0.0,1.0,100.0,0.5, (Matchweek 27)
Petr Čech,7.0,1.0,6.0,85.7,1.6, (Matchweek 27)
Jordan Pickford,3.0,1.0,3.0,100.0,1.7, (Matchweek 27)
Wayne Hennessey,5.0,3.0,2.0,40.0,2.2, (Matchweek 27)
Łukasz Fabiański,1.0,0.0,1.0,100.0,0.0, (Matchweek 27)
Nick Pope,4.0,1.0,3.0,75.0,0.8, (Matchweek 27)
Jack Butland,6.0,1.0,5.0,83.3,0.4, (Matchweek 27)
Mathew Ryan,1.0,1.0,0.0,0.0,0.8, (Matchweek 27)
Adrián,4.0,0.0,4.0,100.0,0.6, (Matchweek 27)
Orestis Karnezis,4.0,2.0,2.0,50.0,1.7, (Matchweek 27)
Ederson,2.0,1.0,1.0,50.0,0.8, (Matchweek 27)
Kasper Schmeichel,10.0,5.0,5.0,50.0,2.5, (Matchweek 27)
Jonas Lössl,2.0,1.0,1.0,50.0,0.9, (Matchweek 27)
Asmir Begović,3.0,4.0,1.0,0.0,1.7, (Matchweek 27)
Martin Dúbravka,4.0,0.0,4.0,100.0,1.1, (Matchweek 27)
David de Gea,3.0,1.0,2.0,66.7,0.6, (Matchweek 27)
Alex McCarthy,4.0,2.0,2.0,50.0,1.9, (Matchweek 27)
Loris Karius,4.0,0.0,4.0,100.0,0.5, (Matchweek 27)
Thibaut Courtois,1.0,0.0,1.0,100.0,0.1, (Matchweek 27)
Ben Foster,7.0,3.0,4.0,57.1,2.6, (Matchweek 27)
Kasper Schmeichel,2.0,1.0,1.0,50.0,0.5, (Matchweek 28)
Jack Butland,7.0,1.0,7.0,85.7,0.6, (Matchweek 28)
Ben Foster,7.0,2.0,5.0,71.4,1.6, (Matchweek 28)
Jonas Lössl,3.0,1.0,2.0,66.7,1.1, (Matchweek 28)
Asmir Begović,4.0,2.0,2.0,50.0,1.9, (Matchweek 28)
Martin Dúbravka,5.0,2.0,3.0,60.0,1.9, (Matchweek 28)
Loris Karius,4.0,1.0,2.0,75.0,1.0, (Matchweek 28)
Adrián,13.0,4.0,8.0,69.2,4.3, (Matchweek 28)
Nick Pope,5.0,1.0,3.0,80.0,1.1, (Matchweek 28)
Alex McCarthy,3.0,1.0,2.0,66.7,0.7, (Matchweek 28)
Mathew Ryan,1.0,1.0,1.0,0.0,0.3, (Matchweek 28)
