player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,matchweek
Aboubakar Kamara,47.0,mr MTN,FW,25-189,62.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,16.0,87.5,0.0,2.0,0.0,2.0, (Matchweek 1)
Aleksandar Mitrović,9.0,rs SRB,FW,25-362,28.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,1.0,1.0, (Matchweek 1)
Ivan Cavaleiro,17.0,pt POR,LW,26-330,90.0,0.0,0.0,41.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.1,35.0,80.0,2.0,4.0,3.0,4.0, (Matchweek 1)
Neeskens Kebano,7.0,cd COD,RW,28-186,62.0,0.0,0.0,30.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,2.0,0.1,0.0,23.0,82.6,1.0,3.0,2.0,3.0, (Matchweek 1)
Andre-Frank Zambo Anguissa,29.0,cm CMR,RW,24-301,28.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,17.0,94.1,1.0,2.0,1.0,1.0, (Matchweek 1)
Josh Onomah,25.0,eng ENG,AM,23-138,74.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,0.0,0.0,23.0,78.3,1.0,3.0,0.0,0.0, (Matchweek 1)
Bobby Reid,14.0,jm JAM,AM,27-223,16.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,2.0,0.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Tom Cairney,10.0,sct SCO,DM,29-236,90.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,80.0,95.0,0.0,6.0,0.0,0.0, (Matchweek 1)
Harrison Reed,21.0,eng ENG,DM,25-229,90.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0,0.0,0.0,69.0,95.7,2.0,7.0,0.0,0.0, (Matchweek 1)
Joe Bryan,23.0,eng ENG,LB,26-361,90.0,0.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,4.0,0.0,0.0,62.0,74.2,2.0,3.0,0.0,0.0, (Matchweek 1)
