player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
David de Gea,4.0,1.0,3.0,75.0,1.4, (Matchweek 1)
Kasper Schmeichel,5.0,2.0,4.0,80.0,1.6, (Matchweek 1)
Martin Dúbravka,6.0,2.0,4.0,66.7,2.5, (Matchweek 1)
Hugo Lloris,2.0,1.0,1.0,50.0,1.1, (Matchweek 1)
Fabricio,10.0,2.0,7.0,80.0,2.2, (Matchweek 1)
Wayne Hennessey,6.0,0.0,6.0,100.0,0.8, (Matchweek 1)
Asmir Begović,1.0,0.0,1.0,100.0,0.8, (Matchweek 1)
Neil Etheridge,3.0,2.0,1.0,33.3,2.5, (Matchweek 1)
Ben Foster,0.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Mathew Ryan,5.0,2.0,3.0,60.0,1.4, (Matchweek 1)
Ben Hamer,3.0,3.0,1.0,33.3,2.8, (Matchweek 1)
Kepa Arrizabalaga,2.0,0.0,2.0,100.0,0.4, (Matchweek 1)
Rui Patrício,5.0,2.0,3.0,60.0,1.3, (Matchweek 1)
Jordan Pickford,4.0,2.0,2.0,50.0,1.8, (Matchweek 1)
Alex McCarthy,6.0,0.0,6.0,100.0,1.1, (Matchweek 1)
Joe Hart,3.0,0.0,3.0,100.0,1.1, (Matchweek 1)
Alisson,2.0,0.0,2.0,100.0,0.1, (Matchweek 1)
Łukasz Fabiański,9.0,4.0,5.0,55.6,5.8, (Matchweek 1)
Petr Čech,7.0,2.0,5.0,71.4,2.9, (Matchweek 1)
Ederson,3.0,0.0,3.0,100.0,0.1, (Matchweek 1)
Neil Etheridge,5.0,0.0,5.0,100.0,0.8, (Matchweek 2)
Martin Dúbravka,0.0,0.0,0.0,0.0,0.0, (Matchweek 2)
Łukasz Fabiański,5.0,2.0,3.0,60.0,2.2, (Matchweek 2)
Asmir Begović,4.0,1.0,4.0,100.0,1.2, (Matchweek 2)
Jordan Pickford,4.0,1.0,2.0,75.0,1.5, (Matchweek 2)
Alex McCarthy,7.0,2.0,5.0,71.4,1.3, (Matchweek 2)
Kasper Schmeichel,2.0,0.0,2.0,100.0,0.2, (Matchweek 2)
Rui Patrício,2.0,2.0,1.0,0.0,0.8, (Matchweek 2)
Hugo Lloris,3.0,1.0,2.0,66.7,1.4, (Matchweek 2)
Fabricio,12.0,3.0,9.0,75.0,5.0, (Matchweek 2)
Kepa Arrizabalaga,6.0,2.0,4.0,66.7,1.7, (Matchweek 2)
Petr Čech,11.0,3.0,8.0,72.7,3.9, (Matchweek 2)
Joe Hart,6.0,3.0,3.0,50.0,1.7, (Matchweek 2)
Ben Foster,3.0,1.0,2.0,66.7,0.8, (Matchweek 2)
Ederson,1.0,1.0,0.0,0.0,0.4, (Matchweek 2)
Ben Hamer,14.0,6.0,9.0,57.1,4.0, (Matchweek 2)
Mathew Ryan,2.0,2.0,1.0,50.0,1.8, (Matchweek 2)
David de Gea,2.0,3.0,0.0,0.0,2.6, (Matchweek 2)
Wayne Hennessey,5.0,2.0,4.0,80.0,1.5, (Matchweek 2)
Alisson,2.0,0.0,2.0,100.0,0.3, (Matchweek 2)
Rui Patrício,6.0,1.0,4.0,83.3,1.5, (Matchweek 3)
Ederson,2.0,1.0,1.0,50.0,1.1, (Matchweek 3)
Petr Čech,5.0,1.0,4.0,80.0,0.9, (Matchweek 3)
Łukasz Fabiański,10.0,3.0,8.0,70.0,2.2, (Matchweek 3)
Alex McCarthy,5.0,2.0,3.0,60.0,0.8, (Matchweek 3)
Kasper Schmeichel,5.0,1.0,4.0,80.0,1.2, (Matchweek 3)
Ben Hamer,1.0,0.0,1.0,100.0,0.1, (Matchweek 3)
Jonas Lössl,3.0,0.0,3.0,100.0,0.3, (Matchweek 3)
Neil Etheridge,1.0,0.0,1.0,100.0,0.5, (Matchweek 3)
Asmir Begović,3.0,2.0,1.0,33.3,0.5, (Matchweek 3)
Jordan Pickford,5.0,2.0,4.0,80.0,2.1, (Matchweek 3)
Alisson,2.0,0.0,2.0,100.0,0.1, (Matchweek 3)
Mathew Ryan,8.0,1.0,7.0,87.5,2.2, (Matchweek 3)
Ben Foster,3.0,1.0,2.0,66.7,0.3, (Matchweek 3)
Wayne Hennessey,5.0,2.0,3.0,60.0,0.8, (Matchweek 3)
Marcus Bettinelli,2.0,2.0,0.0,0.0,1.8, (Matchweek 3)
Joe Hart,12.0,4.0,8.0,66.7,3.2, (Matchweek 3)
Martin Dúbravka,2.0,2.0,2.0,50.0,1.7, (Matchweek 3)
Kepa Arrizabalaga,2.0,1.0,1.0,50.0,0.3, (Matchweek 3)
David de Gea,5.0,3.0,2.0,40.0,2.4, (Matchweek 3)
Hugo Lloris,5.0,0.0,5.0,100.0,1.0, (Matchweek 3)
Kasper Schmeichel,4.0,2.0,2.0,50.0,1.1, (Matchweek 4)
Alisson,5.0,1.0,4.0,80.0,1.6, (Matchweek 4)
Wayne Hennessey,6.0,2.0,4.0,66.7,2.0, (Matchweek 4)
Alex McCarthy,6.0,0.0,6.0,100.0,1.2, (Matchweek 4)
Mathew Ryan,5.0,2.0,3.0,60.0,1.5, (Matchweek 4)
Marcus Bettinelli,3.0,2.0,2.0,66.7,2.3, (Matchweek 4)
Kepa Arrizabalaga,1.0,0.0,1.0,100.0,0.0, (Matchweek 4)
Asmir Begović,6.0,2.0,4.0,66.7,0.9, (Matchweek 4)
Jordan Pickford,5.0,1.0,4.0,80.0,0.6, (Matchweek 4)
Jonas Lössl,1.0,1.0,0.0,0.0,0.5, (Matchweek 4)
Łukasz Fabiański,6.0,1.0,5.0,83.3,1.4, (Matchweek 4)
Rui Patrício,3.0,0.0,3.0,100.0,0.9, (Matchweek 4)
Ederson,2.0,1.0,1.0,50.0,1.2, (Matchweek 4)
Martin Dúbravka,8.0,2.0,6.0,75.0,2.2, (Matchweek 4)
Neil Etheridge,11.0,3.0,8.0,72.7,3.2, (Matchweek 4)
Petr Čech,3.0,2.0,1.0,33.3,0.7, (Matchweek 4)
Ben Foster,2.0,1.0,2.0,50.0,0.0, (Matchweek 4)
Michel Vorm,3.0,2.0,1.0,33.3,1.5, (Matchweek 4)
Joe Hart,8.0,2.0,6.0,75.0,2.2, (Matchweek 4)
David de Gea,3.0,0.0,3.0,100.0,0.7, (Matchweek 4)
Michel Vorm,10.0,2.0,8.0,80.0,4.1, (Matchweek 5)
Alisson,3.0,1.0,2.0,66.7,1.4, (Matchweek 5)
Ederson,3.0,0.0,3.0,100.0,0.5, (Matchweek 5)
Marcus Bettinelli,9.0,3.0,5.0,66.7,3.7, (Matchweek 5)
Jonas Lössl,2.0,1.0,1.0,50.0,0.4, (Matchweek 5)
Wayne Hennessey,1.0,0.0,1.0,100.0,0.2, (Matchweek 5)
Martin Dúbravka,2.0,2.0,0.0,0.0,0.6, (Matchweek 5)
Petr Čech,2.0,1.0,1.0,50.0,0.5, (Matchweek 5)
Asmir Begović,7.0,2.0,5.0,85.7,3.2, (Matchweek 5)
Kasper Schmeichel,4.0,4.0,1.0,25.0,2.8, (Matchweek 5)
Kepa Arrizabalaga,2.0,1.0,1.0,50.0,0.9, (Matchweek 5)
Neil Etheridge,6.0,4.0,3.0,50.0,4.1, (Matchweek 5)
Ben Foster,6.0,2.0,4.0,66.7,2.3, (Matchweek 5)
David de Gea,5.0,1.0,4.0,80.0,0.9, (Matchweek 5)
Rui Patrício,2.0,0.0,2.0,100.0,0.1, (Matchweek 5)
Joe Hart,6.0,1.0,5.0,83.3,2.0, (Matchweek 5)
Jordan Pickford,4.0,3.0,1.0,25.0,1.3, (Matchweek 5)
