player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,matchweek
Roberto Firmino,9.0,br BRA,FW,27-311,85.0,0.0,1.0,39.0,4.0,1.0,0.0,4.0,1.0,25.0,2.0,0.0,1.0,0.8,0.4,29.0,72.4,2.0,6.0,3.0,3.0, (Matchweek 1)
James Milner,7.0,eng ENG,CM,33-217,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,1.0,0.0,0.0,0.0, (Matchweek 1)
Divock Origi,27.0,be BEL,LW,24-113,73.0,1.0,0.0,36.0,3.0,0.0,0.0,1.0,1.0,12.0,4.0,0.0,0.0,0.2,0.0,22.0,63.6,2.0,6.0,0.0,1.0, (Matchweek 1)
Sadio Mané,10.0,sn SEN,LW,27-121,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,81.8,1.0,3.0,1.0,1.0, (Matchweek 1)
Mohamed Salah,11.0,eg EGY,RW,27-055,90.0,1.0,1.0,47.0,4.0,1.0,0.0,2.0,1.0,22.0,0.0,0.0,0.0,0.3,0.2,37.0,62.2,4.0,9.0,2.0,2.0, (Matchweek 1)
Georginio Wijnaldum,5.0,nl NED,"CM,FW",28-271,90.0,0.0,0.0,47.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,92.5,7.0,3.0,1.0,1.0, (Matchweek 1)
Jordan Henderson,14.0,eng ENG,CM,29-053,90.0,0.0,0.0,66.0,2.0,1.0,0.0,2.0,1.0,18.0,1.0,1.0,1.0,0.3,0.0,58.0,79.3,8.0,10.0,2.0,3.0, (Matchweek 1)
Fabinho,3.0,br BRA,DM,25-290,90.0,0.0,0.0,57.0,2.0,0.0,0.0,1.0,1.0,20.0,7.0,2.0,4.0,0.0,0.0,43.0,81.4,3.0,1.0,0.0,0.0, (Matchweek 1)
Andrew Robertson,26.0,sct SCO,LB,25-151,90.0,0.0,0.0,92.0,1.0,0.0,0.0,2.0,0.0,12.0,3.0,1.0,2.0,0.0,0.0,81.0,86.4,10.0,5.0,0.0,0.0, (Matchweek 1)
Virgil van Dijk,4.0,nl NED,CB,28-032,90.0,1.0,0.0,69.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,0.1,0.0,59.0,83.1,6.0,1.0,0.0,1.0, (Matchweek 1)
Joe Gomez,12.0,eng ENG,CB,22-078,90.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,2.0,0.0,0.0,51.0,86.3,4.0,1.0,1.0,1.0, (Matchweek 1)
Trent Alexander-Arnold,66.0,eng ENG,RB,20-306,90.0,0.0,1.0,72.0,3.0,1.0,0.0,2.0,1.0,19.0,1.0,3.0,4.0,0.2,0.9,54.0,59.3,3.0,5.0,0.0,1.0, (Matchweek 1)
Alisson,1.0,br BRA,GK,26-311,38.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,83.3,0.0,0.0,0.0,0.0, (Matchweek 1)
Adrián,13.0,es ESP,GK,32-218,52.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Teemu Pukki,22.0,fi FIN,FW,29-133,82.0,1.0,0.0,25.0,4.0,0.0,0.0,3.0,1.0,20.0,2.0,1.0,2.0,0.5,0.1,11.0,54.5,0.0,2.0,0.0,0.0, (Matchweek 1)
Josip Drmić,20.0,ch SUI,FW,27-001,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Todd Cantwell,14.0,eng ENG,LW,21-163,90.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.1,34.0,79.4,5.0,3.0,1.0,2.0, (Matchweek 1)
Emi Buendía,17.0,ar ARG,RW,22-227,90.0,0.0,1.0,52.0,4.0,1.0,0.0,2.0,2.0,29.0,2.0,0.0,2.0,0.1,0.5,34.0,67.6,7.0,4.0,0.0,2.0, (Matchweek 1)
Marco Stiepermann,18.0,de GER,AM,28-181,57.0,0.0,0.0,23.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.2,0.0,17.0,76.5,0.0,2.0,0.0,0.0, (Matchweek 1)
Moritz Leitner,10.0,de GER,AM,26-244,33.0,0.0,0.0,25.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.1,20.0,80.0,0.0,2.0,0.0,0.0, (Matchweek 1)
Tom Trybull,19.0,de GER,CM,26-153,69.0,0.0,0.0,49.0,1.0,0.0,0.0,1.0,0.0,27.0,3.0,0.0,3.0,0.0,0.0,33.0,90.9,0.0,0.0,0.0,0.0, (Matchweek 1)
Onel Hernández,11.0,cu CUB,CM,26-189,21.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.1,0.0,5.0,60.0,0.0,3.0,0.0,0.0, (Matchweek 1)
Kenny McLean,23.0,sct SCO,CM,27-213,90.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,1.0,0.0,0.0,31.0,90.3,3.0,1.0,0.0,0.0, (Matchweek 1)
Jamal Lewis,12.0,nir NIR,LB,21-196,90.0,0.0,0.0,64.0,3.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,3.0,0.0,0.1,52.0,78.8,5.0,10.0,1.0,1.0, (Matchweek 1)
Ben Godfrey,4.0,eng ENG,CB,21-206,90.0,0.0,0.0,54.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,40.0,85.0,0.0,2.0,0.0,1.0, (Matchweek 1)
Grant Hanley,5.0,sct SCO,CB,27-262,90.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,26.0,92.3,0.0,0.0,0.0,0.0, (Matchweek 1)
Max Aarons,2.0,eng ENG,RB,19-217,90.0,0.0,0.0,53.0,3.0,1.0,0.0,0.0,0.0,17.0,5.0,0.0,3.0,0.0,0.0,36.0,75.0,2.0,1.0,1.0,4.0, (Matchweek 1)
Tim Krul,1.0,nl NED,GK,31-128,90.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,55.6,0.0,0.0,0.0,0.0, (Matchweek 1)
Sébastien Haller,22.0,ci CIV,FW,25-049,90.0,0.0,0.0,44.0,0.0,0.0,0.0,1.0,1.0,39.0,3.0,1.0,3.0,0.1,0.0,34.0,94.1,0.0,1.0,2.0,2.0, (Matchweek 1)
Michail Antonio,30.0,jm JAM,LW,29-135,45.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,2.0,0.0,0.1,20.0,65.0,2.0,1.0,1.0,4.0, (Matchweek 1)
Pablo Fornals,18.0,es ESP,"RM,LW",23-169,45.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.4,14.0,78.6,0.0,1.0,0.0,0.0, (Matchweek 1)
Felipe Anderson,8.0,br BRA,RW,26-117,65.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,22.0,68.2,3.0,3.0,1.0,2.0, (Matchweek 1)
Javier Hernández,9.0,mx MEX,FW,31-070,25.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.5,0.0,8.0,100.0,1.0,0.0,0.0,0.0, (Matchweek 1)
Manuel Lanzini,10.0,ar ARG,"AM,LM",26-176,90.0,0.0,0.0,59.0,1.0,0.0,0.0,1.0,1.0,38.0,1.0,1.0,1.0,0.1,0.0,48.0,85.4,4.0,8.0,1.0,2.0, (Matchweek 1)
Declan Rice,41.0,eng ENG,"CM,DM",20-208,90.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,0.0,44.0,88.6,1.0,0.0,2.0,3.0, (Matchweek 1)
Jack Wilshere,19.0,eng ENG,CM,27-221,55.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,3.0,0.0,0.0,21.0,90.5,0.0,3.0,0.0,1.0, (Matchweek 1)
Robert Snodgrass,11.0,sct SCO,"DM,CM",31-337,35.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.2,18.0,72.2,1.0,1.0,0.0,1.0, (Matchweek 1)
Aaron Cresswell,3.0,eng ENG,LB,29-238,90.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,2.0,0.0,0.0,40.0,82.5,0.0,1.0,0.0,2.0, (Matchweek 1)
Issa Diop,23.0,fr FRA,CB,22-213,90.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,0.2,0.0,36.0,88.9,1.0,0.0,0.0,0.0, (Matchweek 1)
Fabián Balbuena,4.0,py PAR,CB,27-352,90.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,0.0,0.0,38.0,76.3,1.0,0.0,0.0,0.0, (Matchweek 1)
Ryan Fredericks,24.0,eng ENG,RB,26-304,90.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,1.0,0.0,0.0,50.0,78.0,2.0,0.0,0.0,2.0, (Matchweek 1)
Łukasz Fabiański,1.0,pl POL,GK,34-114,90.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,65.7,0.0,0.0,1.0,1.0, (Matchweek 1)
Gabriel Jesus,9.0,br BRA,FW,22-129,68.0,1.0,0.0,18.0,1.0,0.0,0.0,2.0,2.0,24.0,1.0,0.0,0.0,0.6,0.0,11.0,90.9,0.0,0.0,2.0,2.0, (Matchweek 1)
Sergio Agüero,10.0,ar ARG,FW,31-069,22.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.8,0.0,3.0,100.0,1.0,1.0,0.0,1.0, (Matchweek 1)
Raheem Sterling,7.0,eng ENG,LW,24-245,90.0,3.0,0.0,51.0,1.0,1.0,0.0,4.0,4.0,18.0,3.0,0.0,1.0,1.2,0.0,35.0,80.0,3.0,7.0,2.0,6.0, (Matchweek 1)
Riyad Mahrez,26.0,dz ALG,RW,28-170,90.0,0.0,2.0,52.0,7.0,5.0,0.0,3.0,1.0,23.0,4.0,2.0,3.0,0.1,0.9,35.0,82.9,7.0,8.0,1.0,2.0, (Matchweek 1)
David Silva,21.0,es ESP,CM,33-214,79.0,0.0,0.0,71.0,4.0,0.0,0.0,2.0,0.0,15.0,2.0,0.0,0.0,0.3,0.1,62.0,79.0,7.0,9.0,1.0,1.0, (Matchweek 1)
Phil Foden,47.0,eng ENG,AM,19-074,11.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,7.0,71.4,0.0,0.0,0.0,0.0, (Matchweek 1)
Kevin De Bruyne,17.0,be BEL,CM,28-043,78.0,0.0,1.0,60.0,6.0,1.0,0.0,1.0,1.0,12.0,4.0,1.0,3.0,0.0,0.7,50.0,76.0,6.0,8.0,1.0,2.0, (Matchweek 1)
İlkay Gündoğan,8.0,de GER,DM,28-290,12.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,80.0,0.0,1.0,0.0,0.0, (Matchweek 1)
Rodri,16.0,es ESP,DM,23-049,90.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,72.0,90.3,5.0,4.0,2.0,2.0, (Matchweek 1)
Oleksandr Zinchenko,11.0,ua UKR,LB,22-238,90.0,0.0,0.0,76.0,1.0,0.0,0.0,1.0,0.0,14.0,3.0,0.0,1.0,0.0,0.1,65.0,92.3,10.0,5.0,0.0,0.0, (Matchweek 1)
Aymeric Laporte,14.0,es ESP,CB,25-075,90.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,65.0,95.4,0.0,4.0,2.0,2.0, (Matchweek 1)
John Stones,5.0,eng ENG,CB,25-074,90.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,52.0,96.2,2.0,3.0,0.0,1.0, (Matchweek 1)
